potion_sku,ingredient_id,quantity,unit
POT-0057,ING-012,5,pinch
POT-0057,ING-001,5,gram
POT-0058,ING-024,8,pinch
POT-0058,ING-056,9,gram
POT-0059,ING-012,9,pinch
POT-0059,ING-046,10,Gram
POT-0060,ING-002,12,VIAL
POT-0060,ING-038,4,bundle
POT-0060,ING-053,3,pinch
POT-0060,ING-050,3,sprig
POT-0060,ING-011,5,dram
POT-0061,ING-009,5,sprig
POT-0061,ING-022,8,Gram
POT-0061,ING-056,6,gram
POT-0062,ING-064,4,sprig
POT-0062,ING-077,3,bundle
POT-0062,ING-079,7,bundle
POT-0063,ING-043,5,vial
POT-0063,ING-057,12,pinch
POT-0063,ING-056,6,gram
POT-0063,ING-077,7,BUNDLE
POT-0063,ING-018,5,Pinch
POT-0064,ING-074,7,sprig
POT-0064,ING-032,10,vial
POT-0064,ING-042,9,sprig
POT-0064,ING-049,9,vial
POT-0064,ING-036,12,vial
POT-0065,ING-057,7,pinch
POT-0065,ING-038,3,bundle
POT-0065,ING-009,4,sprig
POT-0066,ING-055,8,VIAL
POT-0066,ING-049,8,vial
POT-0066,ING-010,9,gram
POT-0067,ING-070,11,SPRIG
POT-0067,ING-005,2,Gram
POT-0067,ING-047,11,dram
POT-0067,ING-069,3,pinch
POT-0067,ING-077,1,bundle
POT-0068,ING-043,5,vial
POT-0068,ING-056,12,gram
POT-0068,ING-014,10,vial
POT-0068,ING-002,4,vial
POT-0068,ING-013,7,bundle
POT-0069,ING-045,2,gram
POT-0069,ING-004,2,gram
POT-0069,ING-062,12,sprig
POT-0070,ING-044,8,gram
POT-0070,ING-059,2,sprig
POT-0070,ING-027,12,gram
POT-0070,ING-067,2,gram
POT-0071,ING-003,11,vial
POT-0071,ING-044,3,GRAM
POT-0072,ING-067,3,gram
POT-0072,ING-023,7,GRAM
POT-0072,ING-071,4,Dram
POT-0073,ING-024,1,Pinch
POT-0073,ING-056,4,gram
POT-0073,ING-051,7,dram
POT-0074,ING-027,10,gram
POT-0074,ING-036,9,vial
POT-0074,ING-009,6,sprig
POT-0075,ING-034,9,BUNDLE
POT-0075,ING-063,6,pinch
POT-0076,ING-076,10,sprig
POT-0076,ING-015,11,Pinch
POT-0076,ING-045,5,GRAM
POT-0076,ING-046,10,gram
POT-0076,ING-059,3,sprig
POT-0077,ING-040,6,bundle
POT-0077,ING-015,9,pinch
POT-0077,ING-024,10,pinch
POT-0078,ING-055,9,vial
POT-0078,ING-024,5,pinch
POT-0078,ING-063,6,Pinch
POT-0078,ING-069,10,pinch
POT-0078,ING-023,6,GRAM
POT-0079,ING-018,11,pinch
POT-0079,ING-025,11,bundle
POT-0079,ING-050,12,Sprig
POT-0079,ING-072,8,gram
POT-0079,ING-065,10,pinch
POT-0080,ING-038,4,bundle
POT-0080,ING-005,3,Gram
POT-0080,ING-036,10,Vial
POT-0081,ING-071,9,Dram
POT-0081,ING-066,6,dram
POT-0081,ING-015,1,Pinch
POT-0081,ING-074,8,sprig
POT-0081,ING-035,7,gram
POT-0082,ING-039,5,pinch
POT-0082,ING-005,2,gram
POT-0082,ING-058,2,Pinch
POT-0083,ING-027,12,gram
POT-0083,ING-076,7,sprig
POT-0083,ING-045,3,Gram
POT-0084,ING-008,9,dram
POT-0084,ING-073,9,pinch
POT-0084,ING-045,12,gram
POT-0085,ING-066,1,DRAM
POT-0085,ING-013,11,bundle
POT-0085,ING-018,3,pinch
POT-0085,ING-053,12,pinch
POT-0086,ING-051,10,dram
POT-0086,ING-063,11,pinch
POT-0086,ING-019,8,pinch
POT-0087,ING-052,12,dram
POT-0087,ING-066,6,dram
POT-0088,ING-042,11,sprig
POT-0088,ING-075,6,Sprig
POT-0088,ING-001,9,gram
POT-0088,ING-012,7,Pinch
POT-0088,ING-059,8,sprig
POT-0089,ING-044,10,Gram
POT-0089,ING-071,6,Dram
POT-0089,ING-074,1,sprig
POT-0089,ING-017,11,Sprig
POT-0090,ING-003,1,VIAL
POT-0090,ING-016,7,dram
POT-0090,ING-021,12,GRAM
POT-0090,ING-057,11,pinch
POT-0090,ING-059,5,sprig
POT-0091,ING-033,1,gram
POT-0091,ING-011,5,Dram
POT-0091,ING-048,4,pinch
POT-0091,ING-022,2,Gram
POT-0092,ING-028,2,sprig
POT-0092,ING-062,4,sprig
POT-0093,ING-002,8,vial
POT-0093,ING-044,7,gram
POT-0093,ING-016,2,dram
POT-0093,ING-055,6,Vial
POT-0093,ING-017,3,sprig
POT-0094,ING-019,10,pinch
POT-0094,ING-009,11,sprig
POT-0094,ING-068,6,Bundle
POT-0095,ING-053,4,pinch
POT-0095,ING-079,2,bundle
POT-0095,ING-057,2,pinch
POT-0096,ING-045,5,gram
POT-0096,ING-055,4,vial
POT-0096,ING-041,10,Gram
POT-0096,ING-018,5,Pinch
POT-0096,ING-032,12,vial
POT-0097,ING-027,4,Gram
POT-0097,ING-067,5,gram
POT-0097,ING-078,4,vial
POT-0097,ING-066,2,dram
POT-0098,ING-068,6,BUNDLE
POT-0098,ING-002,3,vial
POT-0099,ING-047,1,dram
POT-0099,ING-070,1,sprig
POT-0099,ING-023,1,GRAM
POT-0099,ING-061,7,dram
POT-0099,ING-010,11,Gram
POT-0100,ING-055,3,vial
POT-0100,ING-052,5,dram
POT-0100,ING-011,4,DRAM
POT-0100,ING-069,3,pinch
POT-0100,ING-079,7,bundle
POT-0101,ING-040,12,BUNDLE
POT-0101,ING-056,4,gram
POT-0102,ING-056,8,gram
POT-0102,ING-015,1,pinch
POT-0103,ING-016,12,dram
POT-0103,ING-002,8,VIAL
POT-0103,ING-018,9,pinch
POT-0104,ING-022,12,Gram
POT-0104,ING-048,1,pinch
POT-0104,ING-017,7,sprig
POT-0104,ING-035,2,gram
POT-0105,ING-064,9,sprig
POT-0105,ING-059,8,Sprig
POT-0106,ING-048,2,Pinch
POT-0106,ING-021,11,Gram
POT-0106,ING-033,4,Gram
POT-0107,ING-006,4,sprig
POT-0107,ING-002,6,vial
POT-0108,ING-023,12,Gram
POT-0108,ING-005,7,gram
POT-0108,ING-071,4,dram
POT-0109,ING-035,2,gram
POT-0109,ING-010,1,gram
POT-0109,ING-074,9,SPRIG
POT-0109,ING-048,7,pinch
POT-0110,ING-037,8,bundle
POT-0110,ING-040,4,bundle
POT-0110,ING-042,5,Sprig
POT-0110,ING-012,4,pinch
POT-0110,ING-071,10,DRAM
POT-0111,ING-070,1,SPRIG
POT-0111,ING-032,1,vial
POT-0111,ING-020,6,sprig
POT-0112,ING-043,11,vial
POT-0112,ING-001,12,Gram
POT-0113,ING-027,4,gram
POT-0113,ING-068,1,BUNDLE
POT-0114,ING-036,4,Vial
POT-0114,ING-012,9,pinch
POT-0114,ING-006,6,sprig
POT-0115,ING-075,9,sprig
POT-0115,ING-013,7,bundle
POT-0116,ING-056,4,gram
POT-0116,ING-017,6,SPRIG
POT-0117,ING-042,2,SPRIG
POT-0117,ING-041,3,Gram
POT-0117,ING-058,10,pinch
POT-0117,ING-035,2,gram
POT-0117,ING-030,8,sprig
POT-0118,ING-069,4,pinch
POT-0118,ING-046,8,gram
POT-0119,ING-012,11,pinch
POT-0119,ING-021,12,gram
POT-0120,ING-028,3,sprig
POT-0120,ING-042,4,SPRIG
