payment_id,order_id,method,amount_copper,status,paid_at
PAY-000034,ORD-000028,guild_credit,4066,success,2024-07-01T17:18:53Z
PAY-000035,ORD-000028,crystal_transfer,4168,success,2024-07-01 17:31:53
PAY-000036,ORD-000029,coin,2558,success,2024-07-01T16:29:28Z
PAY-000037,ORD-000030,coin,4838,success,2024-07-01T10:57:23Z
PAY-000038,ORD-000031,coin,5447,success,2024-07-01T13:47:30Z
PAY-000039,ORD-000031,barter,5512,success,2024-07-01T14:07:30Z
PAY-000040,ORD-000032,coin,1457,success,2024-07-01T16:37:05Z
PAY-000041,ORD-000033,coin,327,success,2024-07-01 14:58:09
PAY-000042,ORD-000034,coin,9985,success,2024-07-01 14:06:40
PAY-000043,ORD-000035,crystal_transfer,6295,success,2024-07-01T15:24:37Z
PAY-000044,ORD-000036,guild_credit,1671,success,2024-07-01T15:40:28Z
PAY-000045,ORD-000037,guild_credit,1634,success,2024-07-01 10:30:56
PAY-000046,ORD-000037,coin,1467,success,2024-07-01 10:43:56
PAY-000047,ORD-000038,coin,13240,success,2024-07-01 14:28:17
PAY-000048,ORD-000039,barter,6177,success,2024-07-01T13:19:29Z
PAY-000049,ORD-000040,coin,856,success,2024-07-01T10:43:08Z
PAY-000050,ORD-000041,coin,1857,success,2024-07-01T14:00:21Z
PAY-000051,ORD-000041,coin,1781,success,2024-07-01 14:29:21
PAY-000052,ORD-000042,guild_credit,2740,success,2024-07-01T09:56:15Z
PAY-000053,ORD-000043,guild_credit,1842,success,2024-07-01 13:48:16
PAY-000054,ORD-000044,guild_credit,1706,success,2024-07-01T12:57:37Z
PAY-000055,ORD-000045,coin,4116,success,2024-07-01T14:19:43Z
PAY-000056,ORD-000046,coin,3785,success,2024-07-01T18:25:13Z
PAY-000057,ORD-000047,crystal_transfer,123,success,2024-07-01T16:35:42Z
PAY-000058,ORD-000048,guild_credit,3945,success,2024-07-01 10:56:05
PAY-000059,ORD-000049,coin,4281,failed,2024-07-01T13:44:32Z
PAY-000060,ORD-000049,coin,4281,success,2024-07-01T14:02:32Z
PAY-000061,ORD-000050,guild_credit,4959,success,2024-07-01 15:25:04
PAY-000062,ORD-000051,barter,3642,success,2024-07-01 08:41:14
PAY-000063,ORD-000052,crystal_transfer,8171,success,2024-07-01 09:30:24
PAY-000064,ORD-000053,guild_credit,10552,success,2024-07-01T14:04:44Z
PAY-000065,ORD-000054,coin,4154,success,2024-07-01T14:35:03Z
PAY-000066,ORD-000055,coin,693,success,2024-07-01T16:49:58Z
PAY-000067,ORD-000055,coin,560,success,2024-07-01 17:10:58
PAY-000068,ORD-000056,coin,9953,success,2024-07-01T14:05:59Z
PAY-000069,ORD-000056,coin,9953,refunded,2024-07-11 13:52:59
PAY-000070,ORD-000057,coin,5280,success,2024-07-01 18:43:03
PAY-000071,ORD-000058,coin,3386,success,2024-07-01T16:54:16Z
PAY-000072,ORD-000059,coin,8613,success,2024-07-01T17:27:08Z
PAY-000073,ORD-000060,coin,1604,success,2024-07-01T12:19:57Z
PAY-000074,ORD-000060,guild_credit,1684,success,2024-07-01T12:38:57Z
PAY-000075,ORD-000061,crystal_transfer,5307,success,2024-07-01T14:46:49Z
PAY-000076,ORD-000062,barter,4252,success,2024-07-01T13:40:21Z
PAY-000077,ORD-000063,coin,679,success,2024-07-01T15:37:23Z
PAY-000078,ORD-000063,coin,740,success,2024-07-01 15:44:23
PAY-000079,ORD-000064,coin,1249,success,2024-07-01 17:07:24
PAY-000080,ORD-000065,barter,3019,success,2024-07-01 17:18:40
PAY-000081,ORD-000066,guild_credit,779,success,2024-07-02T17:39:21Z
PAY-000082,ORD-000067,crystal_transfer,6293,success,2024-07-02T15:09:21Z
PAY-000083,ORD-000068,coin,11363,success,2024-07-02 14:54:51
PAY-000084,ORD-000069,guild_credit,1593,success,2024-07-02 16:20:09
PAY-000085,ORD-000069,guild_credit,1593,refunded,2024-07-08 13:16:09
PAY-000086,ORD-000070,crystal_transfer,2463,success,2024-07-02T13:57:05Z
PAY-000087,ORD-000071,guild_credit,4114,success,2024-07-02T10:56:33Z
PAY-000088,ORD-000072,crystal_transfer,2347,success,2024-07-02T11:04:55Z
PAY-000089,ORD-000073,coin,684,success,2024-07-02 13:54:04
PAY-000090,ORD-000074,crystal_transfer,6939,success,2024-07-02T14:23:36Z
PAY-000091,ORD-000075,barter,3407,success,2024-07-02T18:33:20Z
PAY-000092,ORD-000076,coin,4639,failed,2024-07-02 14:06:39
PAY-000093,ORD-000076,coin,4639,success,2024-07-02T14:20:39Z
PAY-000094,ORD-000077,coin,6199,failed,2024-07-02T16:49:45Z
PAY-000095,ORD-000077,coin,6199,success,2024-07-02 17:14:45
PAY-000096,ORD-000078,coin,986,success,2024-07-02 12:28:43
PAY-000097,ORD-000079,guild_credit,5719,success,2024-07-02 11:42:49
PAY-000098,ORD-000080,crystal_transfer,8437,success,2024-07-02T12:03:59Z
PAY-000099,ORD-000081,guild_credit,3404,success,2024-07-02T08:19:05Z
PAY-000100,ORD-000082,coin,993,success,2024-07-02 13:01:42
PAY-000101,ORD-000082,coin,1151,success,2024-07-02 13:26:42
PAY-000102,ORD-000082,coin,2144,refunded,2024-07-10 07:59:42
PAY-000103,ORD-000083,crystal_transfer,3501,success,2024-07-02T11:52:36Z
PAY-000104,ORD-000084,guild_credit,6257,success,2024-07-02T15:20:32Z
PAY-000105,ORD-000085,barter,2192,success,2024-07-02 13:56:23
PAY-000106,ORD-000086,barter,838,success,2024-07-02T14:55:38Z
PAY-000107,ORD-000087,coin,1713,success,2024-07-02 19:58:36
PAY-000108,ORD-000087,barter,1734,success,2024-07-02T20:11:36Z
PAY-000109,ORD-000088,coin,1102,success,2024-07-02 13:26:38
PAY-000110,ORD-000088,coin,1102,refunded,2024-07-07T03:16:38Z
PAY-000111,ORD-000089,coin,342,success,2024-07-02T14:00:43Z
PAY-000112,ORD-000089,barter,289,success,2024-07-02 14:09:43
PAY-000113,ORD-000090,coin,2153,success,2024-07-02T14:35:48Z
PAY-000114,ORD-000090,coin,2200,success,2024-07-02 14:54:48
PAY-000115,ORD-000091,guild_credit,6103,success,2024-07-02T12:58:44Z
PAY-000116,ORD-000092,coin,9295,success,2024-07-02T08:15:35Z
PAY-000117,ORD-000093,crystal_transfer,1818,success,2024-07-02T12:59:24Z
PAY-000118,ORD-000094,coin,8800,success,2024-07-02T14:02:32Z
PAY-000119,ORD-000095,guild_credit,6026,success,2024-07-02T15:49:05Z
PAY-000120,ORD-000096,crystal_transfer,455,success,2024-07-02 13:25:20
PAY-000121,ORD-000097,coin,8112,success,2024-07-02T14:47:02Z
PAY-000122,ORD-000098,coin,10838,success,2024-07-02T17:36:35Z
PAY-000123,ORD-000099,coin,3201,success,2024-07-02T14:44:51Z
PAY-000124,ORD-000100,barter,3539,success,2024-07-02T10:31:03Z
PAY-000125,ORD-000101,guild_credit,1094,success,2024-07-02T13:04:41Z
PAY-000126,ORD-000102,coin,1124,success,2024-07-02T16:33:47Z
PAY-000127,ORD-000104,barter,6871,success,2024-07-02T13:09:13Z
PAY-000128,ORD-000105,coin,8971,failed,2024-07-02T13:26:15Z
PAY-000129,ORD-000105,coin,4555,success,2024-07-02T13:37:15Z
PAY-000130,ORD-000105,guild_credit,4416,success,2024-07-02T13:59:15Z
PAY-000131,ORD-000106,barter,5771,success,2024-07-02 10:02:23
PAY-000132,ORD-000107,coin,9864,success,2024-07-02 16:18:24
PAY-000133,ORD-000108,coin,9515,success,2024-07-02T09:33:46Z
PAY-000134,ORD-000109,guild_credit,4423,success,2024-07-02T11:50:48Z
PAY-000135,ORD-000110,crystal_transfer,6392,success,2024-07-02 18:53:40
PAY-000136,ORD-000111,guild_credit,1670,success,2024-07-02T17:15:51Z
PAY-000137,ORD-000112,barter,4486,success,2024-07-02 13:47:21
PAY-000138,ORD-000113,coin,1506,success,2024-07-02 12:08:58
PAY-000139,ORD-000114,coin,3694,success,2024-07-02T19:16:56Z
PAY-000140,ORD-000115,coin,1070,success,2024-07-02T12:38:03Z
PAY-000141,ORD-000116,barter,5561,success,2024-07-02T12:47:41Z
PAY-000142,ORD-000116,barter,5561,refunded,2024-07-09 01:35:41
PAY-000143,ORD-000117,coin,2660,success,2024-07-02T13:26:55Z
PAY-000144,ORD-000118,crystal_transfer,2885,success,2024-07-02 18:17:05
PAY-000145,ORD-000119,guild_credit,7225,success,2024-07-02T14:02:44Z
PAY-000146,ORD-000120,coin,850,success,2024-07-02T16:09:55Z
PAY-000147,ORD-000121,coin,2374,success,2024-07-02T14:05:06Z
PAY-000148,ORD-000122,coin,1229,success,2024-07-02 12:42:37
PAY-000149,ORD-000123,guild_credit,4548,failed,2024-07-02T16:04:51Z
PAY-000150,ORD-000123,guild_credit,4548,success,2024-07-02 16:19:51
PAY-000151,ORD-000124,coin,12207,success,2024-07-02 16:49:03
PAY-000152,ORD-000125,coin,2812,success,2024-07-02T16:16:59Z
PAY-000153,ORD-000126,coin,3483,success,2024-07-02T13:13:26Z
PAY-000154,ORD-000127,crystal_transfer,6221,success,2024-07-02T13:26:06Z
PAY-000155,ORD-000128,guild_credit,2468,success,2024-07-02T11:22:27Z
PAY-000156,ORD-000128,coin,2270,success,2024-07-02 11:39:27
PAY-000157,ORD-000129,coin,934,success,2024-07-02T15:43:31Z
PAY-000158,ORD-000129,crystal_transfer,942,success,2024-07-02T16:11:31Z
PAY-000159,ORD-000130,barter,3752,success,2024-07-02 19:12:39
PAY-000160,ORD-000131,barter,2716,success,2024-07-02T13:56:22Z
PAY-000161,ORD-000131,coin,2567,success,2024-07-02 14:15:22
PAY-000162,ORD-000132,guild_credit,340,success,2024-07-02 09:29:45
PAY-000163,ORD-000132,guild_credit,522,success,2024-07-02T09:33:45Z
PAY-000164,ORD-000133,coin,3680,success,2024-07-02T14:41:23Z
PAY-000165,ORD-000134,coin,2402,success,2024-07-02T16:00:47Z
PAY-000166,ORD-000134,coin,2599,success,2024-07-02 16:06:47
PAY-000167,ORD-000135,coin,103,success,2024-07-02 13:24:31
PAY-000168,ORD-000136,coin,2812,success,2024-07-02T19:21:35Z
PAY-000169,ORD-000136,coin,2812,refunded,2024-07-07T03:25:35Z
PAY-000170,ORD-000137,barter,4214,success,2024-07-02T14:51:21Z
PAY-000171,ORD-000138,coin,3065,success,2024-07-02T15:33:01Z
PAY-000172,ORD-000139,coin,5390,success,2024-07-02T12:38:31Z
PAY-000173,ORD-000140,coin,2575,success,2024-07-02T10:50:48Z
PAY-000174,ORD-000141,coin,3627,success,2024-07-02T19:33:42Z
PAY-000175,ORD-000142,coin,8895,success,2024-07-02 14:30:00
PAY-000176,ORD-000143,coin,2455,success,2024-07-02T12:44:46Z
PAY-000177,ORD-000144,coin,6516,success,2024-07-02T18:01:08Z
PAY-000178,ORD-000145,coin,2566,failed,2024-07-02T15:18:38Z
PAY-000179,ORD-000145,coin,2566,success,2024-07-02 15:34:38
PAY-000180,ORD-000146,coin,6646,success,2024-07-02 14:11:27
PAY-000181,ORD-000147,coin,844,success,2024-07-02T15:38:52Z
PAY-000182,ORD-000148,coin,2757,success,2024-07-02T09:48:19Z
PAY-000183,ORD-000149,barter,263,success,2024-07-02T10:24:39Z
PAY-000184,ORD-000150,coin,1391,success,2024-07-02T16:15:06Z
PAY-000185,ORD-000150,crystal_transfer,1499,success,2024-07-02 16:33:06
PAY-000186,ORD-000151,coin,3725,failed,2024-07-02T11:00:14Z
PAY-000187,ORD-000151,coin,3725,success,2024-07-02T11:03:14Z
PAY-000188,ORD-000152,crystal_transfer,4742,success,2024-07-02T11:07:02Z
PAY-000189,ORD-000153,crystal_transfer,1458,success,2024-07-02T16:26:07Z
PAY-000190,ORD-000154,coin,9335,failed,2024-07-02 11:22:13
PAY-000191,ORD-000155,crystal_transfer,3691,success,2024-07-02T15:17:24Z
PAY-000192,ORD-000156,guild_credit,5687,success,2024-07-03T13:25:07Z
PAY-000193,ORD-000156,coin,5575,success,2024-07-03T13:43:07Z
PAY-000194,ORD-000157,guild_credit,1037,success,2024-07-03 12:29:07
PAY-000195,ORD-000158,barter,464,failed,2024-07-03T18:00:54Z
PAY-000196,ORD-000158,barter,464,success,2024-07-03T18:09:54Z
PAY-000197,ORD-000159,barter,5043,success,2024-07-03T12:19:59Z
PAY-000198,ORD-000160,coin,7245,success,2024-07-03T11:29:40Z
PAY-000199,ORD-000161,guild_credit,15448,success,2024-07-03T18:37:57Z
PAY-000200,ORD-000162,crystal_transfer,14154,success,2024-07-03 14:54:05
PAY-000201,ORD-000163,coin,6432,success,2024-07-03 15:35:17
PAY-000202,ORD-000164,barter,6293,success,2024-07-03T14:13:42Z
PAY-000203,ORD-000165,guild_credit,8029,success,2024-07-03 14:56:09
PAY-000204,ORD-000166,crystal_transfer,1161,success,2024-07-03T14:36:49Z
PAY-000205,ORD-000167,barter,3776,success,2024-07-03 13:34:16
PAY-000206,ORD-000167,barter,3776,refunded,2024-07-08T11:46:16Z
PAY-000207,ORD-000168,barter,1958,success,2024-07-03 14:14:00
PAY-000208,ORD-000169,crystal_transfer,2089,success,2024-07-03 14:36:18
PAY-000209,ORD-000170,guild_credit,9445,success,2024-07-03T16:45:43Z
PAY-000210,ORD-000171,barter,1681,success,2024-07-03T14:30:22Z
PAY-000211,ORD-000172,guild_credit,1783,success,2024-07-03T16:09:30Z
PAY-000212,ORD-000173,guild_credit,3410,success,2024-07-03T15:50:10Z
PAY-000213,ORD-000174,guild_credit,8783,success,2024-07-03T13:03:35Z
PAY-000214,ORD-000175,barter,3147,success,2024-07-03T19:56:18Z
PAY-000215,ORD-000176,coin,5318,success,2024-07-03T11:17:08Z
PAY-000216,ORD-000177,barter,14670,success,2024-07-03 10:33:05
PAY-000217,ORD-000178,barter,1708,success,2024-07-03 13:03:50
PAY-000218,ORD-000179,coin,11584,success,2024-07-03 17:11:54
PAY-000219,ORD-000180,guild_credit,1832,success,2024-07-03T14:48:31Z
PAY-000220,ORD-000181,guild_credit,3892,success,2024-07-03 17:39:04
PAY-000221,ORD-000182,coin,1243,failed,2024-07-03 14:41:49
PAY-000222,ORD-000182,coin,1243,success,2024-07-03 14:51:49
PAY-000223,ORD-000183,coin,2397,success,2024-07-03 15:34:55
PAY-000224,ORD-000184,coin,10446,success,2024-07-03T11:20:09Z
PAY-000225,ORD-000185,coin,3706,success,2024-07-03 10:58:42
PAY-000226,ORD-000186,crystal_transfer,10222,success,2024-07-03T20:02:23Z
PAY-000227,ORD-000187,barter,7035,success,2024-07-03 15:19:44
PAY-000228,ORD-000188,coin,8701,success,2024-07-03T11:24:41Z
PAY-000229,ORD-000189,coin,3947,success,2024-07-03 11:19:43
PAY-000230,ORD-000190,coin,633,success,2024-07-03T15:28:06Z
PAY-000231,ORD-000190,crystal_transfer,800,success,2024-07-03T15:38:06Z
PAY-000232,ORD-000191,coin,4273,success,2024-07-03T13:41:13Z
PAY-000233,ORD-000192,barter,2373,success,2024-07-03T15:39:42Z
PAY-000234,ORD-000193,guild_credit,6827,success,2024-07-03 19:21:12
PAY-000235,ORD-000194,guild_credit,5950,success,2024-07-03T16:32:25Z
PAY-000236,ORD-000195,guild_credit,3183,success,2024-07-03T15:58:12Z
PAY-000237,ORD-000196,coin,3205,success,2024-07-03 09:27:15
PAY-000238,ORD-000197,coin,3388,success,2024-07-03T13:41:04Z
PAY-000239,ORD-000198,guild_credit,3819,success,2024-07-03T12:48:44Z
PAY-000240,ORD-000198,guild_credit,3769,success,2024-07-03T13:15:44Z
PAY-000241,ORD-000199,guild_credit,1592,failed,2024-07-03T15:41:13Z
PAY-000242,ORD-000200,crystal_transfer,4624,success,2024-07-03 17:37:06
PAY-000243,ORD-000201,coin,1336,success,2024-07-03 11:37:37
PAY-000244,ORD-000202,crystal_transfer,1004,success,2024-07-03T10:56:48Z
PAY-000245,ORD-000202,crystal_transfer,1004,refunded,2024-07-08T13:00:48Z
PAY-000246,ORD-000203,coin,2141,success,2024-07-03T14:58:36Z
PAY-000247,ORD-000203,coin,1973,success,2024-07-03T15:23:36Z
PAY-000248,ORD-000204,crystal_transfer,11025,success,2024-07-03T13:30:50Z
PAY-000249,ORD-000205,coin,6114,success,2024-07-03T15:56:32Z
PAY-000250,ORD-000206,crystal_transfer,281,success,2024-07-03 10:50:28
PAY-000251,ORD-000207,coin,3672,success,2024-07-03 14:55:05
PAY-000252,ORD-000208,guild_credit,4060,success,2024-07-03T14:25:40Z
PAY-000253,ORD-000209,coin,7420,success,2024-07-03 12:39:59
PAY-000254,ORD-000210,guild_credit,3662,success,2024-07-03T15:42:19Z
PAY-000255,ORD-000211,crystal_transfer,14684,success,2024-07-03 09:45:28
PAY-000256,ORD-000212,crystal_transfer,6286,success,2024-07-03 17:41:01
PAY-000257,ORD-000213,coin,4001,success,2024-07-03 13:55:49
PAY-000258,ORD-000214,crystal_transfer,3483,success,2024-07-03 12:11:53
PAY-000259,ORD-000215,guild_credit,4291,failed,2024-07-03T08:43:08Z
PAY-000260,ORD-000215,guild_credit,4291,success,2024-07-03T09:05:08Z
PAY-000261,ORD-000216,guild_credit,2088,success,2024-07-03T12:08:55Z
PAY-000262,ORD-000216,coin,2102,success,2024-07-03T12:30:55Z
PAY-000263,ORD-000217,coin,1570,success,2024-07-03T11:22:24Z
PAY-000264,ORD-000218,guild_credit,4140,failed,2024-07-03 11:25:53
PAY-000265,ORD-000218,guild_credit,4140,success,2024-07-03 11:35:53
PAY-000266,ORD-000219,guild_credit,4687,success,2024-07-03 13:52:00
PAY-000267,ORD-000220,coin,4556,success,2024-07-03 19:06:18
PAY-000268,ORD-000221,crystal_transfer,2824,success,2024-07-03 11:52:14
PAY-000269,ORD-000222,coin,992,success,2024-07-03T14:09:24Z
PAY-000270,ORD-000223,coin,3094,success,2024-07-03T15:39:16Z
PAY-000271,ORD-000224,guild_credit,2679,success,2024-07-03 13:26:00
PAY-000272,ORD-000225,crystal_transfer,1661,failed,2024-07-03T12:36:08Z
PAY-000273,ORD-000225,crystal_transfer,1661,success,2024-07-03T12:54:08Z
PAY-000274,ORD-000226,coin,7020,success,2024-07-04 18:05:13
PAY-000275,ORD-000227,guild_credit,10699,success,2024-07-04T08:44:36Z
PAY-000276,ORD-000228,coin,311,success,2024-07-04T14:09:58Z
PAY-000277,ORD-000229,crystal_transfer,5335,failed,2024-07-04 17:57:49
PAY-000278,ORD-000229,crystal_transfer,5335,success,2024-07-04T18:24:49Z
PAY-000279,ORD-000230,coin,10639,success,2024-07-04T16:03:36Z
PAY-000280,ORD-000231,guild_credit,8168,success,2024-07-04T12:22:21Z
PAY-000281,ORD-000232,coin,852,success,2024-07-04T15:14:26Z
PAY-000282,ORD-000233,guild_credit,8605,success,2024-07-04T15:48:37Z
PAY-000283,ORD-000234,crystal_transfer,8480,success,2024-07-04 13:57:14
PAY-000284,ORD-000235,coin,1590,success,2024-07-04 13:00:26
PAY-000285,ORD-000236,coin,2261,success,2024-07-04 09:08:26
PAY-000286,ORD-000237,guild_credit,7691,success,2024-07-04T13:32:28Z
PAY-000287,ORD-000238,coin,4494,success,2024-07-04 13:19:55
PAY-000288,ORD-000239,coin,2465,success,2024-07-04 12:36:56
PAY-000289,ORD-000239,guild_credit,2363,success,2024-07-04 12:51:56
PAY-000290,ORD-000240,crystal_transfer,1408,success,2024-07-04T11:02:41Z
PAY-000291,ORD-000241,coin,5826,success,2024-07-04 10:58:16
PAY-000292,ORD-000242,coin,1380,success,2024-07-04 15:51:10
PAY-000293,ORD-000243,coin,618,success,2024-07-04T14:08:38Z
PAY-000294,ORD-000243,guild_credit,684,success,2024-07-04T14:31:38Z
PAY-000295,ORD-000244,guild_credit,2226,failed,2024-07-04 15:02:53
PAY-000296,ORD-000244,guild_credit,2226,success,2024-07-04T15:31:53Z
PAY-000297,ORD-000245,barter,6494,success,2024-07-04 13:28:40
PAY-000298,ORD-000246,barter,1516,success,2024-07-04T10:50:16Z
PAY-000299,ORD-000247,guild_credit,4346,success,2024-07-04T14:00:10Z
PAY-000300,ORD-000248,guild_credit,7542,success,2024-07-04 16:52:15
PAY-000301,ORD-000249,guild_credit,4595,success,2024-07-04T12:48:36Z
PAY-000302,ORD-000250,coin,16317,failed,2024-07-04 16:27:44
PAY-000303,ORD-000250,coin,16317,success,2024-07-04T16:43:44Z
PAY-000304,ORD-000251,crystal_transfer,2798,success,2024-07-04T14:58:31Z
PAY-000305,ORD-000251,coin,2955,success,2024-07-04T15:17:31Z
PAY-000306,ORD-000252,guild_credit,4996,success,2024-07-04 12:47:11
PAY-000307,ORD-000253,guild_credit,8726,success,2024-07-04T11:42:56Z
PAY-000308,ORD-000254,coin,7653,success,2024-07-04T14:12:22Z
PAY-000309,ORD-000255,guild_credit,2531,success,2024-07-04T17:28:15Z
PAY-000310,ORD-000255,coin,2389,success,2024-07-04 17:35:15
PAY-000311,ORD-000256,coin,8859,success,2024-07-04T17:08:58Z
PAY-000312,ORD-000257,crystal_transfer,3139,success,2024-07-04 09:58:24
PAY-000313,ORD-000258,barter,3512,success,2024-07-04T16:41:09Z
PAY-000314,ORD-000259,crystal_transfer,8116,success,2024-07-04 13:29:53
PAY-000315,ORD-000260,coin,1677,success,2024-07-04T18:20:22Z
PAY-000316,ORD-000261,coin,1406,success,2024-07-04 11:56:53
PAY-000317,ORD-000262,guild_credit,7125,success,2024-07-04 11:52:55
PAY-000318,ORD-000263,coin,6398,success,2024-07-04T13:33:17Z
PAY-000319,ORD-000264,guild_credit,1072,success,2024-07-04T15:14:41Z
PAY-000320,ORD-000265,crystal_transfer,7398,success,2024-07-04T13:26:35Z
PAY-000321,ORD-000266,coin,650,success,2024-07-04T13:13:09Z
PAY-000322,ORD-000267,coin,3026,success,2024-07-04T10:21:34Z
PAY-000323,ORD-000268,coin,7224,success,2024-07-04T11:37:34Z
PAY-000324,ORD-000269,barter,6842,success,2024-07-04 11:07:00
PAY-000325,ORD-000269,barter,6842,refunded,2024-07-07 19:37:00
PAY-000326,ORD-000270,coin,2103,success,2024-07-04T11:37:45Z
PAY-000327,ORD-000271,barter,3066,success,2024-07-04 16:59:06
PAY-000328,ORD-000272,coin,5283,success,2024-07-04 14:19:47
PAY-000329,ORD-000273,guild_credit,4672,success,2024-07-05T17:53:51Z
PAY-000330,ORD-000274,guild_credit,958,success,2024-07-05T10:56:43Z
PAY-000331,ORD-000275,coin,923,success,2024-07-05 14:01:33
PAY-000332,ORD-000276,guild_credit,5548,success,2024-07-05 17:49:46
PAY-000333,ORD-000277,coin,9845,success,2024-07-05 12:17:46
PAY-000334,ORD-000278,crystal_transfer,4478,success,2024-07-05 12:44:39
PAY-000335,ORD-000278,guild_credit,4496,success,2024-07-05T13:10:39Z
PAY-000336,ORD-000279,coin,525,success,2024-07-05T15:23:47Z
PAY-000337,ORD-000280,coin,3873,success,2024-07-05T11:10:38Z
PAY-000338,ORD-000281,guild_credit,3606,success,2024-07-05 11:05:56
PAY-000339,ORD-000282,crystal_transfer,1065,success,2024-07-05T10:32:26Z
PAY-000340,ORD-000283,guild_credit,884,failed,2024-07-05T13:27:05Z
PAY-000341,ORD-000283,guild_credit,516,success,2024-07-05 13:37:05
PAY-000342,ORD-000283,guild_credit,368,success,2024-07-05T13:49:05Z
PAY-000343,ORD-000284,crystal_transfer,7429,failed,2024-07-05T14:44:19Z
PAY-000344,ORD-000284,crystal_transfer,7429,success,2024-07-05 15:04:19
PAY-000345,ORD-000285,crystal_transfer,10426,success,2024-07-05 16:02:16
PAY-000346,ORD-000286,coin,9712,success,2024-07-05T20:17:16Z
PAY-000347,ORD-000287,coin,2570,success,2024-07-05T15:50:30Z
PAY-000348,ORD-000287,coin,2661,success,2024-07-05T16:11:30Z
PAY-000349,ORD-000288,coin,2770,success,2024-07-05T13:58:49Z
PAY-000350,ORD-000288,coin,2770,refunded,2024-07-15T20:11:49Z
PAY-000351,ORD-000289,crystal_transfer,3348,success,2024-07-05T12:00:55Z
PAY-000352,ORD-000290,crystal_transfer,659,success,2024-07-05T19:13:01Z
PAY-000353,ORD-000291,coin,3831,success,2024-07-05 14:23:55
PAY-000354,ORD-000292,crystal_transfer,7861,success,2024-07-05 12:22:06
PAY-000355,ORD-000293,coin,9687,failed,2024-07-05 13:13:28
PAY-000356,ORD-000293,coin,9687,success,2024-07-05 13:32:28
PAY-000357,ORD-000294,guild_credit,3754,success,2024-07-05T08:19:20Z
PAY-000358,ORD-000294,barter,3898,success,2024-07-05T08:39:20Z
PAY-000359,ORD-000295,crystal_transfer,8445,success,2024-07-05 12:27:48
PAY-000360,ORD-000296,crystal_transfer,3923,success,2024-07-05T10:14:09Z
PAY-000361,ORD-000297,crystal_transfer,2953,success,2024-07-05T13:58:02Z
PAY-000362,ORD-000298,crystal_transfer,1849,success,2024-07-05T10:50:49Z
PAY-000363,ORD-000298,coin,1907,success,2024-07-05T11:10:49Z
PAY-000364,ORD-000299,crystal_transfer,2577,success,2024-07-05 13:24:50
PAY-000365,ORD-000299,guild_credit,2497,success,2024-07-05 13:53:50
PAY-000366,ORD-000300,coin,11646,success,2024-07-05 13:00:07
PAY-000367,ORD-000301,coin,7329,success,2024-07-05 16:38:04
PAY-000368,ORD-000302,coin,983,success,2024-07-05 17:13:17
